INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,OPR_DT,OPR_HR,OPR_INTERVAL,NODE_ID_XML,NODE_ID,NODE,MARKET_RUN_ID,LMP_TYPE,XML_DATA_ITEM,PNODE_RESMRID,GRP_TYPE,POS,MW,GROUP
2021-10-01T11:00:00-00:00,2021-10-01T12:00:00-00:00,2021-10-01,5,0,IRONMTN_2_N001,IRONMTN_2_N001,IRONMTN_2_N001,DAM,LMP,LMP_PRC,IRONMTN_2_N001,ALL,1,53.07824,1
2021-10-01T20:00:00-00:00,2021-10-01T21:00:00-00:00,2021-10-01,14,0,IRONMTN_2_N001,IRONMTN_2_N001,IRONMTN_2_N001,DAM,LMP,LMP_PRC,IRONMTN_2_N001,ALL,1,49.07236,1
2021-10-02T02:00:00-00:00,2021-10-02T03:00:00-00:00,2021-10-01,20,0,IRONMTN_2_N001,IRONMTN_2_N001,IRONMTN_2_N001,DAM,LMP,LMP_PRC,IRONMTN_2_N001,ALL,1,84.45872,1
2021-10-01T08:00:00-00:00,2021-10-01T09:00:00-00:00,2021-10-01,2,0,IRONMTN_2_N001,IRONMTN_2_N001,IRONMTN_2_N001,DAM,LMP,LMP_PRC,IRONMTN_2_N001,ALL,1,53.64029,1
2021-10-01T07:00:00-00:00,2021-10-01T08:00:00-00:00,2021-10-01,1,0,IRONMTN_2_N001,IRONMTN_2_N001,IRONMTN_2_N001,DAM,LMP,LMP_PRC,IRONMTN_2_N001,ALL,1,56.81739,1
2021-10-01T22:00:00-00:00,2021-10-01T23:00:00-00:00,2021-10-01,16,0,IRONMTN_2_N001,IRONMTN_2_N001,IRONMTN_2_N001,DAM,LMP,LMP_PRC,IRONMTN_2_N001,ALL,1,57.01801,1
2021-10-01T19:00:00-00:00,2021-10-01T20:00:00-00:00,2021-10-01,13,0,IRONMTN_2_N001,IRONMTN_2_N001,IRONMTN_2_N001,DAM,LMP,LMP_PRC,IRONMTN_2_N001,ALL,1,46.92632,1
2021-10-01T09:00:00-00:00,2021-10-01T10:00:00-00:00,2021-10-01,3,0,IRONMTN_2_N001,IRONMTN_2_N001,IRONMTN_2_N001,DAM,LMP,LMP_PRC,IRONMTN_2_N001,ALL,1,52.65174,1
2021-10-01T14:00:00-00:00,2021-10-01T15:00:00-00:00,2021-10-01,8,0,IRONMTN_2_N001,IRONMTN_2_N001,IRONMTN_2_N001,DAM,LMP,LMP_PRC,IRONMTN_2_N001,ALL,1,59.833,1
2021-10-01T10:00:00-00:00,2021-10-01T11:00:00-00:00,2021-10-01,4,0,IRONMTN_2_N001,IRONMTN_2_N001,IRONMTN_2_N001,DAM,LMP,LMP_PRC,IRONMTN_2_N001,ALL,1,52.46896,1
2021-10-02T06:00:00-00:00,2021-10-02T07:00:00-00:00,2021-10-01,24,0,IRONMTN_2_N001,IRONMTN_2_N001,IRONMTN_2_N001,DAM,LMP,LMP_PRC,IRONMTN_2_N001,ALL,1,58.59242,1
2021-10-01T18:00:00-00:00,2021-10-01T19:00:00-00:00,2021-10-01,12,0,IRONMTN_2_N001,IRONMTN_2_N001,IRONMTN_2_N001,DAM,LMP,LMP_PRC,IRONMTN_2_N001,ALL,1,42.20268,1
2021-10-02T01:00:00-00:00,2021-10-02T02:00:00-00:00,2021-10-01,19,0,IRONMTN_2_N001,IRONMTN_2_N001,IRONMTN_2_N001,DAM,LMP,LMP_PRC,IRONMTN_2_N001,ALL,1,102.15865,1
2021-10-02T05:00:00-00:00,2021-10-02T06:00:00-00:00,2021-10-01,23,0,IRONMTN_2_N001,IRONMTN_2_N001,IRONMTN_2_N001,DAM,LMP,LMP_PRC,IRONMTN_2_N001,ALL,1,62.87041,1
2021-10-01T16:00:00-00:00,2021-10-01T17:00:00-00:00,2021-10-01,10,0,IRONMTN_2_N001,IRONMTN_2_N001,IRONMTN_2_N001,DAM,LMP,LMP_PRC,IRONMTN_2_N001,ALL,1,45.38855,1
2021-10-01T13:00:00-00:00,2021-10-01T14:00:00-00:00,2021-10-01,7,0,IRONMTN_2_N001,IRONMTN_2_N001,IRONMTN_2_N001,DAM,LMP,LMP_PRC,IRONMTN_2_N001,ALL,1,62.72893,1
2021-10-01T12:00:00-00:00,2021-10-01T13:00:00-00:00,2021-10-01,6,0,IRONMTN_2_N001,IRONMTN_2_N001,IRONMTN_2_N001,DAM,LMP,LMP_PRC,IRONMTN_2_N001,ALL,1,56.21486,1
2021-10-01T23:00:00-00:00,2021-10-02T00:00:00-00:00,2021-10-01,17,0,IRONMTN_2_N001,IRONMTN_2_N001,IRONMTN_2_N001,DAM,LMP,LMP_PRC,IRONMTN_2_N001,ALL,1,62.24512,1
2021-10-02T00:00:00-00:00,2021-10-02T01:00:00-00:00,2021-10-01,18,0,IRONMTN_2_N001,IRONMTN_2_N001,IRONMTN_2_N001,DAM,LMP,LMP_PRC,IRONMTN_2_N001,ALL,1,80.98675,1
2021-10-01T21:00:00-00:00,2021-10-01T22:00:00-00:00,2021-10-01,15,0,IRONMTN_2_N001,IRONMTN_2_N001,IRONMTN_2_N001,DAM,LMP,LMP_PRC,IRONMTN_2_N001,ALL,1,54.22584,1
2021-10-02T03:00:00-00:00,2021-10-02T04:00:00-00:00,2021-10-01,21,0,IRONMTN_2_N001,IRONMTN_2_N001,IRONMTN_2_N001,DAM,LMP,LMP_PRC,IRONMTN_2_N001,ALL,1,73.03047,1
2021-10-01T17:00:00-00:00,2021-10-01T18:00:00-00:00,2021-10-01,11,0,IRONMTN_2_N001,IRONMTN_2_N001,IRONMTN_2_N001,DAM,LMP,LMP_PRC,IRONMTN_2_N001,ALL,1,41.00593,1
2021-10-02T04:00:00-00:00,2021-10-02T05:00:00-00:00,2021-10-01,22,0,IRONMTN_2_N001,IRONMTN_2_N001,IRONMTN_2_N001,DAM,LMP,LMP_PRC,IRONMTN_2_N001,ALL,1,72.06663,1
2021-10-01T15:00:00-00:00,2021-10-01T16:00:00-00:00,2021-10-01,9,0,IRONMTN_2_N001,IRONMTN_2_N001,IRONMTN_2_N001,DAM,LMP,LMP_PRC,IRONMTN_2_N001,ALL,1,49.72838,1
2021-10-01T17:00:00-00:00,2021-10-01T18:00:00-00:00,2021-10-01,11,0,IRONMTN_2_N001,IRONMTN_2_N001,IRONMTN_2_N001,DAM,MCC,LMP_CONG_PRC,IRONMTN_2_N001,ALL,1,0,2
2021-10-02T01:00:00-00:00,2021-10-02T02:00:00-00:00,2021-10-01,19,0,IRONMTN_2_N001,IRONMTN_2_N001,IRONMTN_2_N001,DAM,MCC,LMP_CONG_PRC,IRONMTN_2_N001,ALL,1,0,2
2021-10-02T00:00:00-00:00,2021-10-02T01:00:00-00:00,2021-10-01,18,0,IRONMTN_2_N001,IRONMTN_2_N001,IRONMTN_2_N001,DAM,MCC,LMP_CONG_PRC,IRONMTN_2_N001,ALL,1,0,2
2021-10-01T12:00:00-00:00,2021-10-01T13:00:00-00:00,2021-10-01,6,0,IRONMTN_2_N001,IRONMTN_2_N001,IRONMTN_2_N001,DAM,MCC,LMP_CONG_PRC,IRONMTN_2_N001,ALL,1,0,2
2021-10-02T02:00:00-00:00,2021-10-02T03:00:00-00:00,2021-10-01,20,0,IRONMTN_2_N001,IRONMTN_2_N001,IRONMTN_2_N001,DAM,MCC,LMP_CONG_PRC,IRONMTN_2_N001,ALL,1,0,2
2021-10-01T19:00:00-00:00,2021-10-01T20:00:00-00:00,2021-10-01,13,0,IRONMTN_2_N001,IRONMTN_2_N001,IRONMTN_2_N001,DAM,MCC,LMP_CONG_PRC,IRONMTN_2_N001,ALL,1,-2.67076,2
2021-10-01T11:00:00-00:00,2021-10-01T12:00:00-00:00,2021-10-01,5,0,IRONMTN_2_N001,IRONMTN_2_N001,IRONMTN_2_N001,DAM,MCC,LMP_CONG_PRC,IRONMTN_2_N001,ALL,1,0,2
2021-10-01T07:00:00-00:00,2021-10-01T08:00:00-00:00,2021-10-01,1,0,IRONMTN_2_N001,IRONMTN_2_N001,IRONMTN_2_N001,DAM,MCC,LMP_CONG_PRC,IRONMTN_2_N001,ALL,1,0,2
2021-10-01T23:00:00-00:00,2021-10-02T00:00:00-00:00,2021-10-01,17,0,IRONMTN_2_N001,IRONMTN_2_N001,IRONMTN_2_N001,DAM,MCC,LMP_CONG_PRC,IRONMTN_2_N001,ALL,1,0,2
2021-10-02T06:00:00-00:00,2021-10-02T07:00:00-00:00,2021-10-01,24,0,IRONMTN_2_N001,IRONMTN_2_N001,IRONMTN_2_N001,DAM,MCC,LMP_CONG_PRC,IRONMTN_2_N001,ALL,1,0,2
2021-10-02T03:00:00-00:00,2021-10-02T04:00:00-00:00,2021-10-01,21,0,IRONMTN_2_N001,IRONMTN_2_N001,IRONMTN_2_N001,DAM,MCC,LMP_CONG_PRC,IRONMTN_2_N001,ALL,1,0,2
2021-10-01T22:00:00-00:00,2021-10-01T23:00:00-00:00,2021-10-01,16,0,IRONMTN_2_N001,IRONMTN_2_N001,IRONMTN_2_N001,DAM,MCC,LMP_CONG_PRC,IRONMTN_2_N001,ALL,1,-1.22072,2
2021-10-01T21:00:00-00:00,2021-10-01T22:00:00-00:00,2021-10-01,15,0,IRONMTN_2_N001,IRONMTN_2_N001,IRONMTN_2_N001,DAM,MCC,LMP_CONG_PRC,IRONMTN_2_N001,ALL,1,0,2
2021-10-02T05:00:00-00:00,2021-10-02T06:00:00-00:00,2021-10-01,23,0,IRONMTN_2_N001,IRONMTN_2_N001,IRONMTN_2_N001,DAM,MCC,LMP_CONG_PRC,IRONMTN_2_N001,ALL,1,0,2
2021-10-01T10:00:00-00:00,2021-10-01T11:00:00-00:00,2021-10-01,4,0,IRONMTN_2_N001,IRONMTN_2_N001,IRONMTN_2_N001,DAM,MCC,LMP_CONG_PRC,IRONMTN_2_N001,ALL,1,0,2
2021-10-02T04:00:00-00:00,2021-10-02T05:00:00-00:00,2021-10-01,22,0,IRONMTN_2_N001,IRONMTN_2_N001,IRONMTN_2_N001,DAM,MCC,LMP_CONG_PRC,IRONMTN_2_N001,ALL,1,0,2
2021-10-01T16:00:00-00:00,2021-10-01T17:00:00-00:00,2021-10-01,10,0,IRONMTN_2_N001,IRONMTN_2_N001,IRONMTN_2_N001,DAM,MCC,LMP_CONG_PRC,IRONMTN_2_N001,ALL,1,0,2
2021-10-01T13:00:00-00:00,2021-10-01T14:00:00-00:00,2021-10-01,7,0,IRONMTN_2_N001,IRONMTN_2_N001,IRONMTN_2_N001,DAM,MCC,LMP_CONG_PRC,IRONMTN_2_N001,ALL,1,0,2
2021-10-01T09:00:00-00:00,2021-10-01T10:00:00-00:00,2021-10-01,3,0,IRONMTN_2_N001,IRONMTN_2_N001,IRONMTN_2_N001,DAM,MCC,LMP_CONG_PRC,IRONMTN_2_N001,ALL,1,0,2
2021-10-01T20:00:00-00:00,2021-10-01T21:00:00-00:00,2021-10-01,14,0,IRONMTN_2_N001,IRONMTN_2_N001,IRONMTN_2_N001,DAM,MCC,LMP_CONG_PRC,IRONMTN_2_N001,ALL,1,0,2
2021-10-01T08:00:00-00:00,2021-10-01T09:00:00-00:00,2021-10-01,2,0,IRONMTN_2_N001,IRONMTN_2_N001,IRONMTN_2_N001,DAM,MCC,LMP_CONG_PRC,IRONMTN_2_N001,ALL,1,0,2
2021-10-01T18:00:00-00:00,2021-10-01T19:00:00-00:00,2021-10-01,12,0,IRONMTN_2_N001,IRONMTN_2_N001,IRONMTN_2_N001,DAM,MCC,LMP_CONG_PRC,IRONMTN_2_N001,ALL,1,-1.34552,2
2021-10-01T14:00:00-00:00,2021-10-01T15:00:00-00:00,2021-10-01,8,0,IRONMTN_2_N001,IRONMTN_2_N001,IRONMTN_2_N001,DAM,MCC,LMP_CONG_PRC,IRONMTN_2_N001,ALL,1,0,2
2021-10-01T15:00:00-00:00,2021-10-01T16:00:00-00:00,2021-10-01,9,0,IRONMTN_2_N001,IRONMTN_2_N001,IRONMTN_2_N001,DAM,MCC,LMP_CONG_PRC,IRONMTN_2_N001,ALL,1,0,2
2021-10-01T22:00:00-00:00,2021-10-01T23:00:00-00:00,2021-10-01,16,0,IRONMTN_2_N001,IRONMTN_2_N001,IRONMTN_2_N001,DAM,MCE,LMP_ENE_PRC,IRONMTN_2_N001,ALL,1,63.02893,3
2021-10-01T07:00:00-00:00,2021-10-01T08:00:00-00:00,2021-10-01,1,0,IRONMTN_2_N001,IRONMTN_2_N001,IRONMTN_2_N001,DAM,MCE,LMP_ENE_PRC,IRONMTN_2_N001,ALL,1,61.23883,3
2021-10-01T19:00:00-00:00,2021-10-01T20:00:00-00:00,2021-10-01,13,0,IRONMTN_2_N001,IRONMTN_2_N001,IRONMTN_2_N001,DAM,MCE,LMP_ENE_PRC,IRONMTN_2_N001,ALL,1,55.87144,3
2021-10-01T23:00:00-00:00,2021-10-02T00:00:00-00:00,2021-10-01,17,0,IRONMTN_2_N001,IRONMTN_2_N001,IRONMTN_2_N001,DAM,MCE,LMP_ENE_PRC,IRONMTN_2_N001,ALL,1,68.52926,3
2021-10-02T04:00:00-00:00,2021-10-02T05:00:00-00:00,2021-10-01,22,0,IRONMTN_2_N001,IRONMTN_2_N001,IRONMTN_2_N001,DAM,MCE,LMP_ENE_PRC,IRONMTN_2_N001,ALL,1,77.20046,3
2021-10-02T05:00:00-00:00,2021-10-02T06:00:00-00:00,2021-10-01,23,0,IRONMTN_2_N001,IRONMTN_2_N001,IRONMTN_2_N001,DAM,MCE,LMP_ENE_PRC,IRONMTN_2_N001,ALL,1,67.82137,3
2021-10-02T03:00:00-00:00,2021-10-02T04:00:00-00:00,2021-10-01,21,0,IRONMTN_2_N001,IRONMTN_2_N001,IRONMTN_2_N001,DAM,MCE,LMP_ENE_PRC,IRONMTN_2_N001,ALL,1,79.13151,3
2021-10-01T10:00:00-00:00,2021-10-01T11:00:00-00:00,2021-10-01,4,0,IRONMTN_2_N001,IRONMTN_2_N001,IRONMTN_2_N001,DAM,MCE,LMP_ENE_PRC,IRONMTN_2_N001,ALL,1,55.4113,3
2021-10-02T02:00:00-00:00,2021-10-02T03:00:00-00:00,2021-10-01,20,0,IRONMTN_2_N001,IRONMTN_2_N001,IRONMTN_2_N001,DAM,MCE,LMP_ENE_PRC,IRONMTN_2_N001,ALL,1,91.50457,3
2021-10-01T14:00:00-00:00,2021-10-01T15:00:00-00:00,2021-10-01,8,0,IRONMTN_2_N001,IRONMTN_2_N001,IRONMTN_2_N001,DAM,MCE,LMP_ENE_PRC,IRONMTN_2_N001,ALL,1,65.81565,3
2021-10-01T15:00:00-00:00,2021-10-01T16:00:00-00:00,2021-10-01,9,0,IRONMTN_2_N001,IRONMTN_2_N001,IRONMTN_2_N001,DAM,MCE,LMP_ENE_PRC,IRONMTN_2_N001,ALL,1,55.72432,3
2021-10-02T06:00:00-00:00,2021-10-02T07:00:00-00:00,2021-10-01,24,0,IRONMTN_2_N001,IRONMTN_2_N001,IRONMTN_2_N001,DAM,MCE,LMP_ENE_PRC,IRONMTN_2_N001,ALL,1,62.76639,3
2021-10-01T21:00:00-00:00,2021-10-01T22:00:00-00:00,2021-10-01,15,0,IRONMTN_2_N001,IRONMTN_2_N001,IRONMTN_2_N001,DAM,MCE,LMP_ENE_PRC,IRONMTN_2_N001,ALL,1,60.83904,3
2021-10-02T00:00:00-00:00,2021-10-02T01:00:00-00:00,2021-10-01,18,0,IRONMTN_2_N001,IRONMTN_2_N001,IRONMTN_2_N001,DAM,MCE,LMP_ENE_PRC,IRONMTN_2_N001,ALL,1,88.36524,3
2021-10-01T20:00:00-00:00,2021-10-01T21:00:00-00:00,2021-10-01,14,0,IRONMTN_2_N001,IRONMTN_2_N001,IRONMTN_2_N001,DAM,MCE,LMP_ENE_PRC,IRONMTN_2_N001,ALL,1,55.13749,3
2021-10-01T08:00:00-00:00,2021-10-01T09:00:00-00:00,2021-10-01,2,0,IRONMTN_2_N001,IRONMTN_2_N001,IRONMTN_2_N001,DAM,MCE,LMP_ENE_PRC,IRONMTN_2_N001,ALL,1,57.72118,3
2021-10-01T11:00:00-00:00,2021-10-01T12:00:00-00:00,2021-10-01,5,0,IRONMTN_2_N001,IRONMTN_2_N001,IRONMTN_2_N001,DAM,MCE,LMP_ENE_PRC,IRONMTN_2_N001,ALL,1,57.26426,3
2021-10-01T13:00:00-00:00,2021-10-01T14:00:00-00:00,2021-10-01,7,0,IRONMTN_2_N001,IRONMTN_2_N001,IRONMTN_2_N001,DAM,MCE,LMP_ENE_PRC,IRONMTN_2_N001,ALL,1,67.79307,3
2021-10-01T17:00:00-00:00,2021-10-01T18:00:00-00:00,2021-10-01,11,0,IRONMTN_2_N001,IRONMTN_2_N001,IRONMTN_2_N001,DAM,MCE,LMP_ENE_PRC,IRONMTN_2_N001,ALL,1,46.47091,3
2021-10-01T18:00:00-00:00,2021-10-01T19:00:00-00:00,2021-10-01,12,0,IRONMTN_2_N001,IRONMTN_2_N001,IRONMTN_2_N001,DAM,MCE,LMP_ENE_PRC,IRONMTN_2_N001,ALL,1,49.09606,3
2021-10-02T01:00:00-00:00,2021-10-02T02:00:00-00:00,2021-10-01,19,0,IRONMTN_2_N001,IRONMTN_2_N001,IRONMTN_2_N001,DAM,MCE,LMP_ENE_PRC,IRONMTN_2_N001,ALL,1,110.82518,3
2021-10-01T09:00:00-00:00,2021-10-01T10:00:00-00:00,2021-10-01,3,0,IRONMTN_2_N001,IRONMTN_2_N001,IRONMTN_2_N001,DAM,MCE,LMP_ENE_PRC,IRONMTN_2_N001,ALL,1,56.66352,3
2021-10-01T12:00:00-00:00,2021-10-01T13:00:00-00:00,2021-10-01,6,0,IRONMTN_2_N001,IRONMTN_2_N001,IRONMTN_2_N001,DAM,MCE,LMP_ENE_PRC,IRONMTN_2_N001,ALL,1,60.61555,3
2021-10-01T16:00:00-00:00,2021-10-01T17:00:00-00:00,2021-10-01,10,0,IRONMTN_2_N001,IRONMTN_2_N001,IRONMTN_2_N001,DAM,MCE,LMP_ENE_PRC,IRONMTN_2_N001,ALL,1,50.13648,3
2021-10-01T17:00:00-00:00,2021-10-01T18:00:00-00:00,2021-10-01,11,0,IRONMTN_2_N001,IRONMTN_2_N001,IRONMTN_2_N001,DAM,MCL,LMP_LOSS_PRC,IRONMTN_2_N001,ALL,1,-5.46498,4
2021-10-02T04:00:00-00:00,2021-10-02T05:00:00-00:00,2021-10-01,22,0,IRONMTN_2_N001,IRONMTN_2_N001,IRONMTN_2_N001,DAM,MCL,LMP_LOSS_PRC,IRONMTN_2_N001,ALL,1,-5.13383,4
2021-10-01T15:00:00-00:00,2021-10-01T16:00:00-00:00,2021-10-01,9,0,IRONMTN_2_N001,IRONMTN_2_N001,IRONMTN_2_N001,DAM,MCL,LMP_LOSS_PRC,IRONMTN_2_N001,ALL,1,-5.99594,4
2021-10-02T02:00:00-00:00,2021-10-02T03:00:00-00:00,2021-10-01,20,0,IRONMTN_2_N001,IRONMTN_2_N001,IRONMTN_2_N001,DAM,MCL,LMP_LOSS_PRC,IRONMTN_2_N001,ALL,1,-7.04585,4
2021-10-01T21:00:00-00:00,2021-10-01T22:00:00-00:00,2021-10-01,15,0,IRONMTN_2_N001,IRONMTN_2_N001,IRONMTN_2_N001,DAM,MCL,LMP_LOSS_PRC,IRONMTN_2_N001,ALL,1,-6.6132,4
2021-10-01T10:00:00-00:00,2021-10-01T11:00:00-00:00,2021-10-01,4,0,IRONMTN_2_N001,IRONMTN_2_N001,IRONMTN_2_N001,DAM,MCL,LMP_LOSS_PRC,IRONMTN_2_N001,ALL,1,-2.94234,4
2021-10-01T16:00:00-00:00,2021-10-01T17:00:00-00:00,2021-10-01,10,0,IRONMTN_2_N001,IRONMTN_2_N001,IRONMTN_2_N001,DAM,MCL,LMP_LOSS_PRC,IRONMTN_2_N001,ALL,1,-4.74792,4
2021-10-01T11:00:00-00:00,2021-10-01T12:00:00-00:00,2021-10-01,5,0,IRONMTN_2_N001,IRONMTN_2_N001,IRONMTN_2_N001,DAM,MCL,LMP_LOSS_PRC,IRONMTN_2_N001,ALL,1,-4.18602,4
2021-10-01T08:00:00-00:00,2021-10-01T09:00:00-00:00,2021-10-01,2,0,IRONMTN_2_N001,IRONMTN_2_N001,IRONMTN_2_N001,DAM,MCL,LMP_LOSS_PRC,IRONMTN_2_N001,ALL,1,-4.08089,4
2021-10-02T00:00:00-00:00,2021-10-02T01:00:00-00:00,2021-10-01,18,0,IRONMTN_2_N001,IRONMTN_2_N001,IRONMTN_2_N001,DAM,MCL,LMP_LOSS_PRC,IRONMTN_2_N001,ALL,1,-7.3785,4
2021-10-02T05:00:00-00:00,2021-10-02T06:00:00-00:00,2021-10-01,23,0,IRONMTN_2_N001,IRONMTN_2_N001,IRONMTN_2_N001,DAM,MCL,LMP_LOSS_PRC,IRONMTN_2_N001,ALL,1,-4.95096,4
2021-10-01T07:00:00-00:00,2021-10-01T08:00:00-00:00,2021-10-01,1,0,IRONMTN_2_N001,IRONMTN_2_N001,IRONMTN_2_N001,DAM,MCL,LMP_LOSS_PRC,IRONMTN_2_N001,ALL,1,-4.42144,4
2021-10-02T03:00:00-00:00,2021-10-02T04:00:00-00:00,2021-10-01,21,0,IRONMTN_2_N001,IRONMTN_2_N001,IRONMTN_2_N001,DAM,MCL,LMP_LOSS_PRC,IRONMTN_2_N001,ALL,1,-6.10104,4
2021-10-02T01:00:00-00:00,2021-10-02T02:00:00-00:00,2021-10-01,19,0,IRONMTN_2_N001,IRONMTN_2_N001,IRONMTN_2_N001,DAM,MCL,LMP_LOSS_PRC,IRONMTN_2_N001,ALL,1,-8.66653,4
2021-10-01T14:00:00-00:00,2021-10-01T15:00:00-00:00,2021-10-01,8,0,IRONMTN_2_N001,IRONMTN_2_N001,IRONMTN_2_N001,DAM,MCL,LMP_LOSS_PRC,IRONMTN_2_N001,ALL,1,-5.98264,4
2021-10-01T13:00:00-00:00,2021-10-01T14:00:00-00:00,2021-10-01,7,0,IRONMTN_2_N001,IRONMTN_2_N001,IRONMTN_2_N001,DAM,MCL,LMP_LOSS_PRC,IRONMTN_2_N001,ALL,1,-5.06414,4
2021-10-01T12:00:00-00:00,2021-10-01T13:00:00-00:00,2021-10-01,6,0,IRONMTN_2_N001,IRONMTN_2_N001,IRONMTN_2_N001,DAM,MCL,LMP_LOSS_PRC,IRONMTN_2_N001,ALL,1,-4.40069,4
2021-10-01T09:00:00-00:00,2021-10-01T10:00:00-00:00,2021-10-01,3,0,IRONMTN_2_N001,IRONMTN_2_N001,IRONMTN_2_N001,DAM,MCL,LMP_LOSS_PRC,IRONMTN_2_N001,ALL,1,-4.01178,4
2021-10-01T22:00:00-00:00,2021-10-01T23:00:00-00:00,2021-10-01,16,0,IRONMTN_2_N001,IRONMTN_2_N001,IRONMTN_2_N001,DAM,MCL,LMP_LOSS_PRC,IRONMTN_2_N001,ALL,1,-4.7902,4
2021-10-01T20:00:00-00:00,2021-10-01T21:00:00-00:00,2021-10-01,14,0,IRONMTN_2_N001,IRONMTN_2_N001,IRONMTN_2_N001,DAM,MCL,LMP_LOSS_PRC,IRONMTN_2_N001,ALL,1,-6.06512,4
2021-10-01T19:00:00-00:00,2021-10-01T20:00:00-00:00,2021-10-01,13,0,IRONMTN_2_N001,IRONMTN_2_N001,IRONMTN_2_N001,DAM,MCL,LMP_LOSS_PRC,IRONMTN_2_N001,ALL,1,-6.27436,4
2021-10-01T18:00:00-00:00,2021-10-01T19:00:00-00:00,2021-10-01,12,0,IRONMTN_2_N001,IRONMTN_2_N001,IRONMTN_2_N001,DAM,MCL,LMP_LOSS_PRC,IRONMTN_2_N001,ALL,1,-5.54785,4
2021-10-01T23:00:00-00:00,2021-10-02T00:00:00-00:00,2021-10-01,17,0,IRONMTN_2_N001,IRONMTN_2_N001,IRONMTN_2_N001,DAM,MCL,LMP_LOSS_PRC,IRONMTN_2_N001,ALL,1,-6.28413,4
2021-10-02T06:00:00-00:00,2021-10-02T07:00:00-00:00,2021-10-01,24,0,IRONMTN_2_N001,IRONMTN_2_N001,IRONMTN_2_N001,DAM,MCL,LMP_LOSS_PRC,IRONMTN_2_N001,ALL,1,-4.17396,4
2021-10-01T18:00:00-00:00,2021-10-01T19:00:00-00:00,2021-10-01,12,0,IRONMTN_2_N001,IRONMTN_2_N001,IRONMTN_2_N001,DAM,MGHG,LMP_GHG_PRC,IRONMTN_2_N001,ALL,1,0,5
2021-10-01T20:00:00-00:00,2021-10-01T21:00:00-00:00,2021-10-01,14,0,IRONMTN_2_N001,IRONMTN_2_N001,IRONMTN_2_N001,DAM,MGHG,LMP_GHG_PRC,IRONMTN_2_N001,ALL,1,0,5
2021-10-02T00:00:00-00:00,2021-10-02T01:00:00-00:00,2021-10-01,18,0,IRONMTN_2_N001,IRONMTN_2_N001,IRONMTN_2_N001,DAM,MGHG,LMP_GHG_PRC,IRONMTN_2_N001,ALL,1,0,5
2021-10-01T13:00:00-00:00,2021-10-01T14:00:00-00:00,2021-10-01,7,0,IRONMTN_2_N001,IRONMTN_2_N001,IRONMTN_2_N001,DAM,MGHG,LMP_GHG_PRC,IRONMTN_2_N001,ALL,1,0,5
2021-10-02T05:00:00-00:00,2021-10-02T06:00:00-00:00,2021-10-01,23,0,IRONMTN_2_N001,IRONMTN_2_N001,IRONMTN_2_N001,DAM,MGHG,LMP_GHG_PRC,IRONMTN_2_N001,ALL,1,0,5
2021-10-01T23:00:00-00:00,2021-10-02T00:00:00-00:00,2021-10-01,17,0,IRONMTN_2_N001,IRONMTN_2_N001,IRONMTN_2_N001,DAM,MGHG,LMP_GHG_PRC,IRONMTN_2_N001,ALL,1,0,5
2021-10-01T07:00:00-00:00,2021-10-01T08:00:00-00:00,2021-10-01,1,0,IRONMTN_2_N001,IRONMTN_2_N001,IRONMTN_2_N001,DAM,MGHG,LMP_GHG_PRC,IRONMTN_2_N001,ALL,1,0,5
2021-10-02T02:00:00-00:00,2021-10-02T03:00:00-00:00,2021-10-01,20,0,IRONMTN_2_N001,IRONMTN_2_N001,IRONMTN_2_N001,DAM,MGHG,LMP_GHG_PRC,IRONMTN_2_N001,ALL,1,0,5
2021-10-01T12:00:00-00:00,2021-10-01T13:00:00-00:00,2021-10-01,6,0,IRONMTN_2_N001,IRONMTN_2_N001,IRONMTN_2_N001,DAM,MGHG,LMP_GHG_PRC,IRONMTN_2_N001,ALL,1,0,5
2021-10-01T21:00:00-00:00,2021-10-01T22:00:00-00:00,2021-10-01,15,0,IRONMTN_2_N001,IRONMTN_2_N001,IRONMTN_2_N001,DAM,MGHG,LMP_GHG_PRC,IRONMTN_2_N001,ALL,1,0,5
2021-10-02T03:00:00-00:00,2021-10-02T04:00:00-00:00,2021-10-01,21,0,IRONMTN_2_N001,IRONMTN_2_N001,IRONMTN_2_N001,DAM,MGHG,LMP_GHG_PRC,IRONMTN_2_N001,ALL,1,0,5
2021-10-01T11:00:00-00:00,2021-10-01T12:00:00-00:00,2021-10-01,5,0,IRONMTN_2_N001,IRONMTN_2_N001,IRONMTN_2_N001,DAM,MGHG,LMP_GHG_PRC,IRONMTN_2_N001,ALL,1,0,5
2021-10-02T01:00:00-00:00,2021-10-02T02:00:00-00:00,2021-10-01,19,0,IRONMTN_2_N001,IRONMTN_2_N001,IRONMTN_2_N001,DAM,MGHG,LMP_GHG_PRC,IRONMTN_2_N001,ALL,1,0,5
2021-10-01T17:00:00-00:00,2021-10-01T18:00:00-00:00,2021-10-01,11,0,IRONMTN_2_N001,IRONMTN_2_N001,IRONMTN_2_N001,DAM,MGHG,LMP_GHG_PRC,IRONMTN_2_N001,ALL,1,0,5
2021-10-01T08:00:00-00:00,2021-10-01T09:00:00-00:00,2021-10-01,2,0,IRONMTN_2_N001,IRONMTN_2_N001,IRONMTN_2_N001,DAM,MGHG,LMP_GHG_PRC,IRONMTN_2_N001,ALL,1,0,5
